SRPM_name;added_by;import_reason;latest_release_URL;latest_release_regexp
redhat-lsb;XS;;;
rootfiles;XS;;;
rpcbind;XS;;;
rpm;XS;;;
rrd2csv;XS;;;
rrdd-plugins;XS;;;
rsync;XS;;;
rsyslog;XS;;;
samba;XS;;;
sbd;XS;;;
scapy;XS;;;
screen;XS;;;
sdparm;XS;;;
security-tools;XCP-ng;replaces proprietary security-tools;;
sed;XS;;;
setup;XS;;;
sg3_utils;XS;;;
shadow-utils;XS;;;
shared-mime-info;XS;;;
sharutils;XS;;;
slang;XS;;;
sm;XS;;;
sm-additional-drivers;XCP-ng;smapiv1 extra drivers (EXT4, XFS...);;
sm-cli;XS;;;
sm-core-libs;XS;;;
smartmontools;XS;;;
socat;XCP-ng;extra tool;;
spl;XCP-ng;stale ZFS dependency, to be removed;;
spl-kmod;XCP-ng;stale ZFS dependency, to be removed;;
sqlite;XS;;;
squeezed;XS;;;
ssmtp;XS;;;
star;XS;;;
strace;XS;;;
stunnel_xs;XS;;;
sudo;XS;;;
sysfsutils;XS;;;
sysstat;XS;;;
system-config-firewall;XS;;;
systemd;XS;;;
systemtap;XS;;;
sysvinit;XS;;;
tar;XS;;;
tcl;XS;;;
tcp_wrappers;XS;;;
tcpdump;XS;;;
telnet;XS;;;
test-ring0;XS;;;
texinfo;XS;;;
time;XS;;;
tmux;XCP-ng;extra tool;;
traceroute;XCP-ng;extra tool;;
tree;XCP-ng;extra tool;;
tzdata;XS;;;
unzip;XS;;;
usbutils;XS;;;
ustr;XS;;;
util-linux;XS;;;
varstored-guard;XS;;;
vconfig;XS;;;
vcputune;XS;;;
vendor-drivers;XS;;;
vendor-update-keys;XCP-ng;replaces proprietary vendor-update-keys;;
vhd-tool;XS;;;
vhostmd;XS;;;
vim;XS;;;
vmss;XS;;;
vncsnapshot;XS;;;
vncterm;XS;;;
wget;XS;;;
which;XS;;;
wpa_supplicant;XCP-ng;extra tool;;
wsproxy;XS;;;
xapi;XS;;;
xapi-nbd;XS;;;
xapi-storage;XS;;;
xapi-storage-script;XS;;;
xcp-clipboardd;XCP-ng;replaces proprietary xs-clipboardd;;
xcp-emu-manager;XCP-ng;replaces proprietary emu-manager;;
xcp-featured;XCP-ng;replaces proprietary v6d-citrix;;
xcp-networkd;XS;;;
xcp-ng-deps;XCP-ng;meta package that defines default installation;;
xcp-ng-generic-lib;XCP-ng;lib for other packages;;
xcp-ng-plymouth-theme;XCP-ng;replaces xenserver-plymouth-theme;;
xcp-ng-release;XCP-ng;replaces xenserver-release;;
xcp-ng-updater;XCP-ng;obsoleted by xcp-ng-xapi-plugins, to be removed;;
xcp-ng-xapi-plugins;XCP-ng;XAPI plugins;;
xcp-ng-xapi-storage;XCP-ng;SMAPIv3 implementation, replaces proprietary implementation;;
xcp-python-libs;XS;;;
xcp-rrdd;XS;;;
xdelta;XS;;;
xen;XS;;;
xen-crashdump-analyser;XS;;;
xengt-userspace;XS;;;
xenops-cli;XS;;;
xenopsd;XS;;;
xenserver-dracut;XS;;;
xenserver-firstboot;XS;;;
xenserver-hwdata;XS;;;
xenserver-sdk;XS;;;
xenserver-status-report;XS;;;
xenserver-transfer-vm;XS;;;
xha;XS;;;
xs-opam-repo;XS;;;
xs-opam-src;XS;;;
xsconsole;XS;;;
xscontainer;XS;from xscontainer ISO;;
xsifstat;XS;;;
xsiostat;XS;;;
xz;XS;;;
yajl;XS;;;
yum;XS;;;
yum-metadata-parser;XS;;;
yum-utils;XS;;;
zfs;XCP-ng;ZFS support;;
zfs-kmod;XCP-ng;ZFS dep;;
zip;XS;;;
zlib;XS;;;
zstd;XCP-ng;ZSTD compression support;;
