SRPM name,Maintained by,built by,added by,import reason,main role
tcp_wrappers,OS Platform,centos,xs,,main
tcpdump,OS Platform,centos,xs,,main
telnet,OS Platform,centos,xs,,main
texinfo,OS Platform,centos,xs,,main
time,OS Platform,centos,xs,,main
trousers,OS Platform,centos,xs,,main
tzdata,OS Platform,centos,xs,,main
unbound,OS Platform,centos,xs,,main
unzip,OS Platform,centos,xs,,main
usbutils,OS Platform,centos,xs,,main
ustr,OS Platform,centos,xs,,main
vim,OS Platform,centos,xs,,main
wget,OS Platform,centos,xs,,main
which,OS Platform,centos,xs,,main
xdelta,OS Platform,centos,xs,,main
xz,OS Platform,centos,xs,,main
yajl,OS Platform,centos,xs,,main
yum,OS Platform,centos,xs,,main
yum-metadata-parser,OS Platform,centos,xs,,main
yum-utils,OS Platform,centos,xs,,main
zip,OS Platform,centos,xs,,main
zlib,OS Platform,centos,xs,,main
createrepo_c,OS Platform,epel,xs,,main
future,OS Platform,epel,xs,,main
iftop,OS Platform,epel,xcp-ng,added to default install,main
python-bitarray,OS Platform,epel,xs,,main
python3-six,OS Platform,epel,xs,,main
ssmtp,OS Platform,epel,xs,,main
vconfig,OS Platform,epel,xs,,main
xxhash,OS Platform,epel,xs,,main
zstd,OS Platform,epel,xs,,main
branding-xcp-ng,OS Platform,xcp-ng,xcp-ng,replaces branding-xenserver,main_builddep
cmake3,OS Platform,xcp-ng,xcp-ng,"Initially imported by us, XS started using it. For XS 8, they forked cmake-3.26.4-4.fc37.src.rpm. At first, we keep ours because we found nothing that would require cmake3 in recent updates",main_builddep
devtoolset-11-binutils,OS Platform,xcp-ng,xs,,main_builddep
devtoolset-11-gcc,OS Platform,xcp-ng,xs,,main_builddep
dwarves,OS Platform,xcp-ng,,,main_builddep
nasm,OS Platform,xcp-ng,xs,,main_builddep
python3-coverage,OS Platform,xcp-ng,xs,,main_builddep
socat,OS Platform,xcp-ng,xcp-ng,extra tool,main_builddep
asciidoc,OS Platform,centos,,,main_builddep
autoconf,OS Platform,centos,,,main_builddep
automake,OS Platform,centos,,,main_builddep
bison,OS Platform,centos,,,main_builddep
cdrkit,OS Platform,centos,,,main_builddep
ceph-common,OS Platform,centos,xs,,main_builddep
chrpath,OS Platform,centos,,,main_builddep
crash,OS Platform,centos,,,main_builddep
desktop-file-utils,OS Platform,centos,,,main_builddep
devtoolset-10-gcc,OS Platform,centos,,,main_builddep
docbook-dtds,OS Platform,centos,,,main_builddep
docbook-style-xsl,OS Platform,centos,,,main_builddep
flex,OS Platform,centos,,,main_builddep
gc,OS Platform,centos,,,main_builddep
git,OS Platform,centos,,,main_builddep
gobject-introspection,OS Platform,centos,,,main_builddep
gperf,OS Platform,centos,,,main_builddep
gpm,OS Platform,centos,xcp-ng,,main_builddep
gtk-doc,OS Platform,centos,,,main_builddep
help2man,OS Platform,centos,,,main_builddep
intltool,OS Platform,centos,,,main_builddep
libmicrohttpd,OS Platform,centos,,,main_builddep
libtool,OS Platform,centos,,,main_builddep
libunwind,OS Platform,centos,,,main_builddep
libusb,OS Platform,centos,,,main_builddep
libxcb,OS Platform,centos,,,main_builddep
libxslt,OS Platform,centos,xs,,main_builddep
lksctp-tools,OS Platform,centos,,,main_builddep
mtools,OS Platform,centos,,,main_builddep
nmap,OS Platform,centos,xcp-ng,extra tool,main_builddep
perl-Digest-MD5,OS Platform,centos,,,main_builddep
perl-Digest-SHA,OS Platform,centos,,,main_builddep
perl-ExtUtils-MakeMaker,OS Platform,centos,,,main_builddep
perl-IO-Compress,OS Platform,centos,,,main_builddep
perl-Module-Load-Conditional,OS Platform,centos,,,main_builddep
perl-Parse-Yapp,OS Platform,centos,,,main_builddep
perl-Test-Harness,OS Platform,centos,,,main_builddep
perl-Test-Simple,OS Platform,centos,,,main_builddep
python-dns,OS Platform,centos,,,main_builddep
python-lxml,OS Platform,centos,,,main_builddep
python-rpm-macros,OS Platform,centos,,,main_builddep
python-setuptools,OS Platform,centos,,,main_builddep
softhsm,OS Platform,centos,,,main_builddep
syslinux,OS Platform,centos,,,main_builddep
valgrind,OS Platform,centos,,,main_builddep
xfsprogs,OS Platform,centos,xcp-ng,,main_builddep
xmlto,OS Platform,centos,,,main_builddep
xorg-x11-util-macros,OS Platform,centos,,,main_builddep
cmocka,OS Platform,epel,,,main_builddep
dev86,OS Platform,epel,,,main_builddep
dpkg,OS Platform,epel,,,main_builddep
epel-rpm-macros,OS Platform,epel,,,main_builddep
fakeroot,OS Platform,epel,,,main_builddep
figlet,OS Platform,epel,,,main_builddep
golang,OS Platform,epel,,,main_builddep
golang-github-golang-sys,OS Platform,epel,,,main_builddep
lcov,OS Platform,epel,,,main_builddep
perl-generators,OS Platform,epel,,,main_builddep
pylint,OS Platform,epel,,,main_builddep
python-demjson,OS Platform,epel,,,main_builddep
python-iso8601,OS Platform,epel,,,main_builddep
python-mock,OS Platform,epel,,,main_builddep
python3-mock,OS Platform,epel,,,main_builddep
devtoolset-11,OS Platform,xcp-ng,xs,,main_builddep_dep
SDL,OS Platform,centos,,,main_builddep_dep
apr,OS Platform,centos,,,main_builddep_dep
apr-util,OS Platform,centos,,,main_builddep_dep
atk,OS Platform,centos,,,main_builddep_dep
cairo,OS Platform,centos,,,main_builddep_dep
centos-indexhtml,OS Platform,centos,,,main_builddep_dep
checkpolicy,OS Platform,centos,,,main_builddep_dep
ctags,OS Platform,centos,,,main_builddep_dep
dejavu-fonts,OS Platform,centos,,,main_builddep_dep
devtoolset-10,OS Platform,centos,,,main_builddep_dep
